ZAMBALES - CANDELARIA,,,,
ZAMBALES - CANDELARIA,,,,
MAYOR,,,,
28,"TIONG, ZEKIAH LEE (PDR)",MALE,"TIONG, ZEKIAH LEE DE JESUS",PARTIDO PARA SA DEMOKRATIKONG  REPORMA
29,"TUGADI, FATHER (NP)",MALE,"TUGADI, ALBERT REGUINDIN",NACIONALISTA PARTY
30,"VALDEZ, MONCHING (PDR)",MALE,"VALDEZ, RAMON TRIMOR",PARTIDO PARA SA DEMOKRATIKONG  REPORMA
31,"VILLA, PANCHO (PDPLBN)",MALE,"VILLA, PANCHO CAASI",PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
ZAMBALES - CASTILLEJOS,,,,
ZAMBALES - CASTILLEJOS - LONE DIST,,,,
COUNCILOR,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY
32,"VILLANUEVA, CHITO (NP)",MALE,"VILLANUEVA, JESUSITO REYES",NACIONALISTA PARTY
C E R T I F I C A T I O N,,,,
"This is to certify that the above listed persons are the official candidates for the MAY 9, 2022 NATIONAL AND LOCAL ELECTIONS who filed their Certificate of Candidacy before the Administering Officer of ZAMBALES",,,,
CERTIFIED CORRECT:,,,,
ATTY. MARIA NORINA S. TANGARO-CASINGAL,,,,
,,,,
ADMINISTERING OFFICER,,,,
Signature over printed name,,,,
ZAMBALES - IBA,,,,
ZAMBALES - IBA,,,,
MAYOR,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY
1,"DELOSO, AD HEBERT (NPC)",MALE,"DELOSO, AD HEBERT POYNTER",NATIONALIST PEOPLE'S COALITION
2,"MANIQUIZ, IRENE (SZP)",FEMALE,"BINAN, IRENEA MANIQUIZ",SULONG ZAMBALES
3,"PAMOLERAS, DANNY (PRP)",MALE,"PAMOLERAS, DANILO _",PEOPLE'S REFORM PARTY
ZAMBALES - IBA,,,,
VICE-MAYOR,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY
1,"ALDEA, FRANK (NPC)",MALE,"ALDEA, FRANCISCO PANTILON",NATIONALIST PEOPLE'S COALITION
2,"BALLESTEROS, JOAN (IND)",FEMALE,"BALLESTEROS, JOAN DOLOJAN",INDEPENDENT
3,"REDONDO, BADONG (SZP)",MALE,"REDONDO, SALVADOR RIEGO DE DIOS",SULONG ZAMBALES
ZAMBALES - IBA - LONE DIST,,,,
COUNCILOR,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY
1,"AGABAO, MARIO (NPC)",MALE,"AGABAO, MARIO TOLENTINO",NATIONALIST PEOPLE'S COALITION
2,"AGUILA, DING (PROMDI)",MALE,"AGUILA, SISENANDO ACUAVERA",ABAG PROMDI
3,"ANTONIO, BOBBY (AKSYON)",MALE,"ANTONIO, ANDRES JR. DOMENDEN",AKSYON DEMOKRATIKO
4,"APOSTOL, LOUIE (IND)",MALE,"APOSTOL, LUIS TAPEC",INDEPENDENT
5,"ARAMAY, RUSSEL (IND)",MALE,"ARAMAY, RUSSEL SULAT",INDEPENDENT
6,"ASANION, ALBERT (NPC)",MALE,"ASANION, ALBERT MENES",NATIONALIST PEOPLE'S COALITION
7,"BACSAL, FEDERICO (NPC)",MALE,"BACSAL, FEDERICO APAGALANG",NATIONALIST PEOPLE'S COALITION
8,"BALTAZAR, EDMOND (IND)",MALE,"BALTAZAR, EDMOND PRADO",INDEPENDENT
9,"BANGUG, SIXTA (SZP)",FEMALE,"BANGUG, SIXTA ABASTA",SULONG ZAMBALES
10,"BUGARIN, DANILO (SZP)",MALE,"BUGARIN, DANILO DEGUIA",SULONG ZAMBALES
11,"BUTARAN, ROMMEL (SZP)",MALE,"BUTARAN, ROMMEL MONTELIA",SULONG ZAMBALES
12,"BUTARAN, RUEL (NPC)",MALE,"BUTARAN, RUEL MAS",NATIONALIST PEOPLE'S COALITION
ZAMBALES - IBA,,,,
ZAMBALES - IBA - LONE DIST,,,,
COUNCILOR,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY
13,"CALIMLIM, DODING (NPC)",MALE,"CALIMLIM, DEOGRACIAS PARONG",NATIONALIST PEOPLE'S COALITION
14,"CALIMLIM, RAUL (PROMDI)",MALE,"CALIMLIM, RAUL ACERA",ABAG PROMDI
15,"CAMBA, CESAR (PROMDI)",MALE,"CAMBA, CESAR DANTES",ABAG PROMDI
16,"CASTILLO, RYAN (NPC)",MALE,"CASTILLO, RYAN ESCOBAR",NATIONALIST PEOPLE'S COALITION
17,"DEL FIERRO, JEANET (KBL)",FEMALE,"DEL FIERRO, JEANET ORIN",KILUSANG BAGONG LIPUNAN
18,"DELA CRUZ, SHERWYN (IND)",MALE,"DELA CRUZ, SHERWYN VERAN",INDEPENDENT
19,"ECHAURE, JESSIE (PROMDI)",MALE,"ECHAURE, JESSIE SABELLANO",ABAG PROMDI
20,"EDA¥O, LARRY (SZP)",MALE,"EDA¥O, LAURENCE BARRETTO",SULONG ZAMBALES
21,"FALLORIN, AJ (NPC)",MALE,"FALLORIN, ALIRE JOHN TORRES",NATIONALIST PEOPLE'S COALITION
22,"FERRER, MATCHA (SZP)",FEMALE,"FERRER, MARCELIE FISCO",SULONG ZAMBALES
23,"FISCO, NIDA BLANCA (IND)",FEMALE,"FISCO, NIDA BLANCA LICUANAN",INDEPENDENT
24,"FLAUTA, JOSEPH (IND)",MALE,"FLAUTA, JOSEPH DOLOJAN",INDEPENDENT
25,"FORTIN, PAULO (PROMDI)",MALE,"FORTIN, PAULO ARTATES",ABAG PROMDI
26,"FORTIN, ZALDY (IND)",MALE,"FORTIN, ZALDY LAGUER",INDEPENDENT
27,"LOPEZ, RODA (AKSYON)",FEMALE,"LOPEZ, RODALIZA TOLENTINO",AKSYON DEMOKRATIKO
28,"MANIQUIZ, MARGIE (SZP)",FEMALE,"NOVENO, MARGIE MANIQUIZ",SULONG ZAMBALES
29,"MAUHAY, ODY (PROMDI)",MALE,"MAUHAY, ODILON ACUAVERA",ABAG PROMDI
30,"MERINDO, NOLAN (IND)",MALE,"MERINDO, NOLAN CARZON",INDEPENDENT
31,"MON, ELVIS (IND)",MALE,"MON, ELVIS DE GUIDOY",INDEPENDENT
32,"PAMPLONA, SENEN (MKMAZA)",MALE,"PAMPLONA, SENEN ABRIGO",MALAYANG KILUSAN NG MAMAYANG ZAMBALE¥O (MAKIMAZA)
33,"PASCUAL, ARNEL (MKMAZA)",MALE,"PASCUAL, ARNEL DE GUIA",MALAYANG KILUSAN NG MAMAYANG ZAMBALE¥O (MAKIMAZA)
34,"PAULAR , ANDY (IND)",MALE,"PAULAR, ROSALINO PANSACULA",INDEPENDENT
ZAMBALES - IBA,,,,
ZAMBALES - IBA - LONE DIST,,,,
COUNCILOR,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY
35,"PAYUMO, CEFERINO (IND)",MALE,"PAYUMO, CEFERINO REYES",INDEPENDENT
36,"PAYUMO, EDGAR (PROMDI)",MALE,"PAYUMO, EDGAR CARI¥O",ABAG PROMDI
37,"QUIDEZ, JERICO (IND)",MALE,"QUIDEZ, JERICO VALDEZ",INDEPENDENT
38,"RODRIGUEZ, REYCARD (IND)",MALE,"RODRIGUEZ, REYCARD LAGUATAN",INDEPENDENT
39,"ROMANBAN, CHRISTIAN (IND)",MALE,"ROMANBAN, CHRISTIAN _",INDEPENDENT
40,"SARMIENTO, ALAN (AKSYON)",MALE,"SARMIENTO, ALAN DALUSONG",AKSYON DEMOKRATIKO
41,"TABILE, LANIE (NPC)",FEMALE,"TABILE, LANIE ELLANO",NATIONALIST PEOPLE'S COALITION
42,"TAPADO, BOBOY (IND)",MALE,"TAPADO, MARCERIO MARCIAL",INDEPENDENT
43,"VENTURA, FERDINAND (SZP)",MALE,"VENTURA, FERDINAND DUPLON",SULONG ZAMBALES
44,"YAP, GANI (SZP)",MALE,"YAP, ISAGANI QUIMSON",SULONG ZAMBALES
C E R T I F I C A T I O N,,,,
"This is to certify that the above listed persons are the official candidates for the MAY 9, 2022 NATIONAL AND LOCAL ELECTIONS who filed their Certificate of Candidacy before the Administering Officer of ZAMBALES",,,,
CERTIFIED CORRECT:,,,,
ATTY. MARIA NORINA S. TANGARO-CASINGAL,,,,
,,,,
ADMINISTERING OFFICER,,,,
Signature over printed name,,,,
ZAMBALES - MASINLOC,,,,
ZAMBALES - MASINLOC,,,,
MAYOR,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY
1,"ESTELLA, ROLEX (SZP)",MALE,"ESTELLA, ROLEX EALA",SULONG ZAMBALES
2,"LIM, ARSENIA (PRP)",FEMALE,"LIM, ARSENIA JALATA",PEOPLE'S REFORM PARTY
ZAMBALES - MASINLOC,,,,
VICE-MAYOR,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY
1,"EDORA, JESSU (SZP)",MALE,"EDORA, JESSU ESTELLA",SULONG ZAMBALES
2,"ENCISO, PEDRO (PRP)",MALE,"ENCISO, PEDRO ORTIN",PEOPLE'S REFORM PARTY
ZAMBALES - MASINLOC - LONE DIST,,,,
COUNCILOR,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY
1,"ACIERTO, NORMAN (PRP)",MALE,"ACIERTO, NORMAN TRINIDAD",PEOPLE'S REFORM PARTY
2,"AQUINO, ARNEL (PRP)",MALE,"AQUINO, ARNEL PASCASIO",PEOPLE'S REFORM PARTY
3,"ASUNCION, JUN (PRP)",MALE,"ASUNCION, DIOSDADO JR. EDA¥O",PEOPLE'S REFORM PARTY
4,"DIMACULANGAN, NORMAN (SZP)",MALE,"DIMACULANGAN, NORMAN MARTINEZ",SULONG ZAMBALES
5,"EAMILAO, PAO (SZP)",MALE,"EAMILAO, PHILIP CESAR PARADO",SULONG ZAMBALES
6,"EAMILAO, PHILIP AARON (PRP)",MALE,"EAMILAO, PHILIP AARON PARADO",PEOPLE'S REFORM PARTY
7,"EBARLE, JUN (SZP)",MALE,"EBARLE, AURELIANO JR ERMITA",SULONG ZAMBALES
8,"ECLEVIA, RENIL (IND)",MALE,"ECLEVIA, RENIL CUMILANG",INDEPENDENT
9,"EDORA, AMBE (SZP)",MALE,"EDORA, JOHN BENEDICT SALAZAR",SULONG ZAMBALES
10,"EDUVALA, LEVY (PRP)",MALE,"EDUVALA, LEVY PURUGGANAN",PEOPLE'S REFORM PARTY
11,"EJANDA, MDM SUSAN (IND)",FEMALE,"EJANDA, SUSAN GUTIERREZ",INDEPENDENT
12,"ELACIO, NOY (SZP)",MALE,"ELACIO, RODERICK BENIDA",SULONG ZAMBALES
13,"ELAMPARO, RODEL (SZP)",MALE,"ELAMPARO, RODEL EDA¥O",SULONG ZAMBALES
14,"ELBO, ROMMEL (PRP)",MALE,"ELBO, ROMMEL _",PEOPLE'S REFORM PARTY
15,"ELGINCOLIN, VIC (IND)",MALE,"ELGINCOLIN, VICTOR MARIANO",INDEPENDENT
ZAMBALES - MASINLOC,,,,
ZAMBALES - MASINLOC - LONE DIST,,,,
COUNCILOR,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY
16,"ESCALANTE, JAMES (IND)",MALE,"ESCALANTE, JAMES ELGINCOLIN",INDEPENDENT
17,"FIDEL, GABRON (SZP)",MALE,"FIDEL, JOSHUA MAGGAY",SULONG ZAMBALES
18,"FIGUERREZ, KING IAN PAUL (PRP)",MALE,"FIGUERREZ, KING IAN PAUL VIZCARRA",PEOPLE'S REFORM PARTY
19,"GASCON, AMANDA HERSHEY (SZP)",FEMALE,"GASCON, AMANDA HERSHEY HAO",SULONG ZAMBALES
20,"GUTIERREZ, ALLAN (IND)",MALE,"GUTIERREZ, ALLAN CERVANTES",INDEPENDENT
21,"LIM, HAZEL (PRP)",FEMALE,"LIM, HAZEL JALATA",PEOPLE'S REFORM PARTY
22,"MARABE, JOSELITO (IND)",MALE,"MARABE, JOSELITO BOLA¥O",INDEPENDENT
23,"MORALES, ARBE (IND)",MALE,"MORALES, ARBE RETORIANO",INDEPENDENT
24,"OCOL, DENNIS (IND)",MALE,"OCOL, DENNIS ELANE",INDEPENDENT
C E R T I F I C A T I O N,,,,
"This is to certify that the above listed persons are the official candidates for the MAY 9, 2022 NATIONAL AND LOCAL ELECTIONS who filed their Certificate of Candidacy before the Administering Officer of ZAMBALES",,,,
CERTIFIED CORRECT:,,,,
ATTY. MARIA NORINA S. TANGARO-CASINGAL,,,,
,,,,
ADMINISTERING OFFICER,,,,
Signature over printed name,,,,
ZAMBALES - CITY OF OLONGAPO,,,,
ZAMBALES - CITY OF OLONGAPO,,,,
MAYOR,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY
1,"CUNANAN, BOY (IND)",MALE,"CUNANAN, APOLONIO MAGTUTO",INDEPENDENT
2,"GORDON, ANNE (LP)",FEMALE,"GORDON, ANNE MARIE CU¥ADA",LIBERAL PARTY
3,"PAULINO, ROLEN JR. (NP)",MALE,"PAULINO, ROLEN JR. CO",NACIONALISTA PARTY
4,"PONGE, KAP ECHIE (AKSYON)",FEMALE,"PONGE, PRISCILLA BALAY",AKSYON DEMOKRATIKO
5,"PRADAS, DELFIN (PFP)",MALE,"PRADAS, DELFIN PRIEL",PARTIDO FEDERAL NG PILIPINAS
6,"VEGAFRIA, ARNOLD (PDPLBN)",MALE,"VEGAFRIA, ARNOLD LAZARITO",PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
ZAMBALES - CITY OF OLONGAPO,,,,
VICE-MAYOR,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY
1,"CORTEZ, JONG (IND)",MALE,"CORTEZ, AQUILINO JR. YORAC",INDEPENDENT
2,"GARDON, BOSS JACK (PFP)",MALE,"GARDON, JACINTO AGUSTIN",PARTIDO FEDERAL NG PILIPINAS
3,"JALANDONI, PRUDY (LP)",MALE,"JALANDONI, PRUDENCIO BRUEL",LIBERAL PARTY
4,"NADONG, LESTER (PDPLBN)",MALE,"NADONG, LESTER CASTRO",PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
5,"SANTIAGO, ARTHUR ART (IND)",MALE,"SANTIAGO, ARTHURO VICTOR SANTIAGO",INDEPENDENT
ZAMBALES - CITY OF OLONGAPO- LONE DIST,,,,
COUNCILOR,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY
1,"ADOLFO, ED (LP)",MALE,"ADOLFO, EDGARDO DAMASO",LIBERAL PARTY
2,"ALONZO, DOCMACKY (PDPLBN)",MALE,"ALONZO, MACARIO II CAINDOC",PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
3,"ANONAT, KAP YING (NP)",MALE,"ANONAT, ERMELANDO NATAN",NACIONALISTA PARTY
4,"APRID, SHE SHELLA SHIELA (IND)",FEMALE,"APRID, MICHELLE BAYOCA",INDEPENDENT
5,"AQUINO, DONALD (NP)",MALE,"AQUINO, DONALD ELAD",NACIONALISTA PARTY
6,"ARDIENTE, EGAY (IND)",MALE,"ARDIENTE, EDGAR CLARK",INDEPENDENT
7,"BACAY, JEROME MICHAEL (NP)",MALE,"BACAY, JEROME MICHAEL SONGCO",NACIONALISTA PARTY
ZAMBALES - CITY OF OLONGAPO,,,,
ZAMBALES - CITY OF OLONGAPO- LONE DIST,,,,
COUNCILOR,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY
8,"BALINTAY, SAMUEL JR. (LP)",MALE,"BALINTAY, SAMUEL JR. MANIAGO",LIBERAL PARTY
9,"BANTILLO, REGINA (IND)",FEMALE,"BANTILLO, REGINA DEMEGILLO",INDEPENDENT
10,"BARRETTO, CLAUDINE (PDPLBN)",FEMALE,"SANTIAGO, CLAUDINE MARGARET BARRETTO",PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
11,"BASA¥EZ, RICKY (IND)",MALE,"BASA¥EZ, RICKY VICERA",INDEPENDENT
