BASILAN - AKBAR,,,,,
BASILAN - AKBAR,,,,,
MAYOR,,,,,
2,"TOKONG, MURILIN (PDPLBN)",MALE,"TOKONG, MURILIN HUMAJATIN",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
BASILAN - AL-BARKA - LONE DIST,,,,,
COUNCILOR,,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,,POLITICAL PARTY
1,"ABDASAL, EMRAN (IND)",MALE,"ABDASAL, ALIMRAN KILLOT",,INDEPENDENT
2,"ABDIL, DELMA (IND)",FEMALE,"ABDIL, DELMA SUMAMPIL",,INDEPENDENT
3,"ABDURAJAK, SAMID (PDPLBN)",MALE,"ABDURAJAK, SAMID BALAHAMA",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
4,"AHLAM, INDAMA (PDPLBN)",MALE,"AHLAM, INDAMA HAMJALIN",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
5,"AL-AMIN, SAIDIE (UBJP)",MALE,"AL-AMIN, SAIDIE YUSOPH",,UNITED BANGSAMORO JUSTICE PARTY
6,"ANDIKIE, HAMID (PDPLBN)",MALE,"ANDIKIE, HAMID MARANIE",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
7,"ASNAWI, MAHRUF (LAKAS)",MALE,"ASNAWI, MAHRUF HAMJALUN",,LAKAS CHRISTIAN  MUSLIM DEMOCRATS
8,"AWAL, APPAN (UBJP)",MALE,"AWAL, APPAN IMLANA",,UNITED BANGSAMORO JUSTICE PARTY
9,"FERNANDEZ, IBS (UBJP)",MALE,"FERNANDEZ, IBS ISA",,UNITED BANGSAMORO JUSTICE PARTY
BASILAN - AL-BARKA,,,,,
BASILAN - AL-BARKA - LONE DIST,,,,,
COUNCILOR,,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,,POLITICAL PARTY
10,"GUMUNTUL, ABDUL ADJIDZ (UBJP)",MALE,"GUMUNTUL, ABDUL ADJIDZ ARASANI",,UNITED BANGSAMORO JUSTICE PARTY
11,"HASAN, MOAMMAR (IND)",MALE,"HASAN, MOAMMAR AKIP",,INDEPENDENT
12,"ISARUL, JAIN (IND)",MALE,"ISARUL, JAIN MUSA",,INDEPENDENT
13,"ISHAK, SAID (IND)",MALE,"ISHAK, ABDULSAID HABING",,INDEPENDENT
14,"JAIRATUL, LHIDZ (IND)",MALE,"JAIRATUL, KHALID HUDJATUN",,INDEPENDENT
15,"KABUKISAN, ARSAD (PDPLBN)",MALE,"KABUKISAN, ARSAD ALBABON",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
16,"MASUHUL, ABDUSSAMAD (UBJP)",MALE,"MASUHUL, ABDUSSAMAD ASNARUL",,UNITED BANGSAMORO JUSTICE PARTY
17,"MUJAJILUN, MARHANA (UBJP)",FEMALE,"MUJAJILUN, SITTI MARHA ABAD",,UNITED BANGSAMORO JUSTICE PARTY
18,"NUSAL, OMS (IND)",MALE,"NUSAL, OMAR MOHAWAN",,INDEPENDENT
19,"PANAWALON, SAID (LAKAS)",MALE,"PANAWALON, SAID ARASALUN",,LAKAS CHRISTIAN  MUSLIM DEMOCRATS
20,"PATTA, SUHARTO (PDPLBN)",MALE,"PATTA, SUHARTO NUL",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
21,"PISING, JERHAM (UBJP)",MALE,"PISING, JERHAM KABUKISAN",,UNITED BANGSAMORO JUSTICE PARTY
22,"SALIH, BONNIE (IND)",MALE,"SALIH, BONNIE ILAGI",,INDEPENDENT
23,"SANDUNG, RUF (IND)",MALE,"SANDUNG, MAHRUP RIZAL",,INDEPENDENT
24,"SAPI-E, ALJAVIER (PDPLBN)",MALE,"SAPI-E, ALJAVIER JAMLI",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
25,"TANJILANI, ABE (IND)",MALE,"TANJILANI, ABE LADJAMURA",,INDEPENDENT
26,"TOKONG, POPOY (UBJP)",MALE,"TOKONG, POPOY PATEH",,UNITED BANGSAMORO JUSTICE PARTY
27,"YUSOPH, BHENZAR (PDPLBN)",MALE,"YUSOPH, BHENZAR JALLAHA",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
BASILAN - AL-BARKA,,,,,
BASILAN - AL-BARKA - LONE DIST,,,,,
COUNCILOR,,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,,POLITICAL PARTY
C E R T I F I C A T I O N,,,,,
"This is to certify that the above listed persons are the official candidates for the MAY 9, 2022 NATIONAL AND LOCAL ELECTIONS who filed their Certificate of Candidacy before the Administering Officer of BASILAN",,,,,
CERTIFIED CORRECT:,,,,,
ATTY. MARIA NORINA S. TANGARO-CASINGAL,,,,,
,,,,,
ADMINISTERING OFFICER,,,,,
Signature over printed name,,,,,
BASILAN - HADJI MOHAMMAD AJUL,,,,,
BASILAN - HADJI MOHAMMAD AJUL,,,,,
MAYOR,,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,,POLITICAL PARTY
1,"ASMAWIL, NASH (IND)",FEMALE,"ASMAWIL, NASIRA ADIN",,INDEPENDENT
2,"BALLAHO, IBRAHIM (PDPLBN)",MALE,"BALLAHO, IBRAHIM HJI SALI",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
3,"BALLAHO, MHUDAR (IND)",MALE,"BALLAHO, MHUDAR UNDARING",,INDEPENDENT
4,"MUKTI, KUYA BAS (IND)",MALE,"MUKTI, BASIT BALA",,INDEPENDENT
5,"PAWAKI, TALIB (LAKAS)",MALE,"PAWAKI, TALIB GARINGAN",,LAKAS CHRISTIAN  MUSLIM DEMOCRATS
6,"SAHIM, EDGAR (PDDS)",MALE,"SAHIM, EDGAR SABDANI",,PEDERALISMO NG DUGONG DAKILANG SAMAHAN
BASILAN - HADJI MOHAMMAD AJUL,,,,,
VICE-MAYOR,,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,,POLITICAL PARTY
1,"HAJAL, ARSID (PDPLBN)",MALE,"HAJAL, ARSID HABING",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
2,"HASSAN, MUHAMMAD (IND)",MALE,"HASSAN, MUHAMMAD AJUL",,INDEPENDENT
3,"MUSA, TERENG (IND)",MALE,"MUSA, TALIB JAANAL",,INDEPENDENT
4,"TAWASIL, SABTAL (PDDS)",MALE,"TAWASIL, SABTAL TOTOH",,PEDERALISMO NG DUGONG DAKILANG SAMAHAN
5,"TOTOH, JAIMAR (UBJP)",MALE,"TOTOH, JAIMAR SALI",,UNITED BANGSAMORO JUSTICE PARTY
BASILAN - HADJI MOHAMMAD AJUL - LONE DIST,,,,,
COUNCILOR,,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,,POLITICAL PARTY
1,"ABBANI, ALMIN (PDDS)",MALE,"ABBANI, ALMIN SAUPI",,PEDERALISMO NG DUGONG DAKILANG SAMAHAN
2,"ABDULATIP, IBNUS (PFP)",MALE,"ABDULATIP, IBNUSULAIMAN ABDURAHMAN",,PARTIDO FEDERAL NG PILIPINAS
3,"ABDULHALIK, AIYUB (LP)",MALE,"ABDULHALIK, AIYUB SALI",,LIBERAL PARTY
4,"AHAJIN, CAMAR (LP)",MALE,"AHAJIN, CAMAR ELLIYAS",,LIBERAL PARTY
5,"ALANO, MURUWA (LAKAS)",FEMALE,"ALANO, MURUWA PAWAKI",,LAKAS CHRISTIAN  MUSLIM DEMOCRATS
6,"ARIP, ABDULSARIP (IND)",MALE,"ARIP, ABDULSARIP TOTOH",,INDEPENDENT
7,"ASANA, SHARIF (IND)",MALE,"ASANA, BERSHARIF BAJUNAID",,INDEPENDENT
BASILAN - HADJI MOHAMMAD AJUL,,,,,
BASILAN - HADJI MOHAMMAD AJUL - LONE DIST,,,,,
COUNCILOR,,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,,POLITICAL PARTY
8,"ASMALA, ABUBAZAR (PDPLBN)",MALE,"ASMALA, ABUBAZAR ASLIL",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
9,"ATAL, ABDURAHMAN (UBJP)",MALE,"ATAL, ABDURAHMAN KADIR",,UNITED BANGSAMORO JUSTICE PARTY
10,"CAMLIAN, BASIT (UBJP)",MALE,"CAMLIAN, BASIT JALILUL",,UNITED BANGSAMORO JUSTICE PARTY
11,"HASAN, HADJI UNI (PDPLBN)",MALE,"HASAN, ABDUL-UNI BALAN",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
12,"IBRAHIM, NASHER (UBJP)",MALE,"IBRAHIM, NASHER SAHI",,UNITED BANGSAMORO JUSTICE PARTY
13,"ISMAEL, RADZKUMAR (IND)",MALE,"ISMAEL, RADZKUMAR MAHANG",,INDEPENDENT
14,"JAILUL, SANG (IND)",MALE,"JAILUL, HAMSANG ANDAWA",,INDEPENDENT
15,"JAIYARI, ASRIN (IND)",MALE,"JAIYARI, ASRIN TIMBUL",,INDEPENDENT
16,"JAMIRI, MUHSIN (PDDPLBN)",MALE,"JAMIRI, MUHSIN HUSALUN",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
17,"JUDDA, BAYAN (BUP)",MALE,"JUDDA, BAYAN ALAMIN",,BASILAN UNITY PARTY
18,"LAMLA, MAIMUNA (PDPLBN)",FEMALE,"LAMLA, MAIMUNA SALI",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
19,"MAHMUD, TOY (IND)",MALE,"MAHMUD, SABTURIN SUHUD",,INDEPENDENT
20,"MUNJALIL, KASIM (IND)",MALE,"MUNJALIL, KASIM KAHALUN",,INDEPENDENT
21,"MUNTASIL, NUR-AMIN (IND)",MALE,"MUNTASIL, NUR-AMIN NARIMIN",,INDEPENDENT
22,"MUSA, JUL (IND)",MALE,"MUSA, JACKY BAITEL",,INDEPENDENT
23,"MUSA, MUNIR (LAKAS)",MALE,"MUSA, MUNIR ABUBAKAR",,LAKAS CHRISTIAN  MUSLIM DEMOCRATS
24,"NARIMIN, ISMAEL (IND)",MALE,"NARIMIN, ISMAEL AHMAD",,INDEPENDENT
25,"OMAR, ANWAR (IND)",MALE,"OMAR, ANWAR ABDURASID",,INDEPENDENT
26,"OMAR, TALIB (IND)",MALE,"OMAR, TALIB ABUNNAWAS",,INDEPENDENT
27,"OMATILA, UDDIH (IND)",MALE,"OMATILA, HUDZRI ASSIK",,INDEPENDENT
28,"SAGGAAN, MERGANI (UBJP)",MALE,"SAGGAAN, MERGANI ADDALANI",,UNITED BANGSAMORO JUSTICE PARTY
29,"SAHABAT, RAJID (PFP)",MALE,"SAHABAT, RAJID PAJAT",,PARTIDO FEDERAL NG PILIPINAS
30,"SAHAJI, MUSLI (PDPLBN)",MALE,"SAHAJI, MUSLI HAJAL",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
BASILAN - HADJI MOHAMMAD AJUL,,,,,
BASILAN - HADJI MOHAMMAD AJUL - LONE DIST,,,,,
COUNCILOR,,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,,POLITICAL PARTY
31,"SAHI, MUHAYMIN (PDPLBN)",MALE,"SAHI, MUHAYMIN ISMAEL",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
32,"SAKIB, BUYUNG (IND)",MALE,"SAKIB, BUYUNG TOTOH",,INDEPENDENT
33,"SALI, SALMAN (LP)",MALE,"SALI, SALMAN ABDULPATTA",,LIBERAL PARTY
34,"SALUWAN, FAHAD (LAKAS)",MALE,"SALUWAN, FAHAD UMAR",,LAKAS CHRISTIAN  MUSLIM DEMOCRATS
35,"SAWARI, ALLAN (IND)",MALE,"SAWARI, ALLAN UNTANG",,INDEPENDENT
36,"TAHSIN, KALSUM (PDPLBN)",FEMALE,"TAHSIN, KALSUM JAJIMIN",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
37,"TAJALLAIN, OMAR (LAKAS)",MALE,"TAJALLAIN, OMAR MURSALIN",,LAKAS CHRISTIAN  MUSLIM DEMOCRATS
38,"UMMAL, SABTAL (PDDS)",MALE,"UMMAL, SABTAL ARABAIN",,PEDERALISMO NG DUGONG DAKILANG SAMAHAN
39,"USMAN, BIBITH (PDDS)",MALE,"USMAN, BIBITH GUSTAM",,PEDERALISMO NG DUGONG DAKILANG SAMAHAN
40,"WAHAB, HADJI ABDULLA (IND)",MALE,"WAHAB, ABDULLA MUKSAN",,INDEPENDENT
41,"WAHAB, KIM (IND)",MALE,"WAHAB, KIM SAPIE",,INDEPENDENT
42,"YUNUS, RAHMA (PDPLBN)",FEMALE,"YUNUS, RAHMA MUARIP",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
BASILAN - HADJI MOHAMMAD AJUL,,,,,
BASILAN - HADJI MOHAMMAD AJUL - LONE DIST,,,,,
COUNCILOR,,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,,POLITICAL PARTY
C E R T I F I C A T I O N,,,,,
"This is to certify that the above listed persons are the official candidates for the MAY 9, 2022 NATIONAL AND LOCAL ELECTIONS who filed their Certificate of Candidacy before the Administering Officer of BASILAN",,,,,
CERTIFIED CORRECT:,,,,,
ATTY. MARIA NORINA S. TANGARO-CASINGAL,,,,,
,,,,,
ADMINISTERING OFFICER,,,,,
Signature over printed name,,,,,
BASILAN - HADJI MUHTAMAD,,,,,
BASILAN - HADJI MUHTAMAD,,,,,
MAYOR,,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,,POLITICAL PARTY
1,"ASCALI, UTUTALUM (UBJP)",MALE,"ASCALI, UTUTALUM ABBI",,UNITED BANGSAMORO JUSTICE PARTY
2,"MAAMO, ALONTO (IND)",MALE,"MAAMO, ALONTO ATALAD",,INDEPENDENT
3,"MANSUL, JAMAR (PDPLBN)",MALE,"MANSUL, JAMAR ABDULA",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
4,"NANOH, ARSINA (AKSYON)",FEMALE,"NANOH, ARSINA KAHING",,AKSYON DEMOKRATIKO
BASILAN - HADJI MUHTAMAD,,,,,
VICE-MAYOR,,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,,POLITICAL PARTY
1,"HASIM, NADZ (PFP)",FEMALE,"HASIM, NADZRA SAMPURHAH",,PARTIDO FEDERAL NG PILIPINAS
2,"MANSUL, NERWELYN (PDPLBN)",FEMALE,"MANSUL, NERWELYN LADJAHASAN",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
BASILAN - HADJI MUHTAMAD - LONE DIST,,,,,
COUNCILOR,,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,,POLITICAL PARTY
1,"ABDULMAJID, ANWAR (IND)",MALE,"ABDULMAJID, ANWAR MUTAMAD",,INDEPENDENT
2,"ABIRIN, MUHAIMIN (IND)",MALE,"ABIRIN, MUHAIMIN BANDARASA",,INDEPENDENT
3,"ABUBAKAR, GAJER (AKSYON)",MALE,"ABUBAKAR, GAJER UMMAL",,AKSYON DEMOKRATIKO
4,"ABUBAKAR, KADAFY (IND)",MALE,"ABUBAKAR, KADAFY HALIK",,INDEPENDENT
5,"ABUBAKAR, KAJEM (AKSYON)",MALE,"ABUBAKAR, JHIMSAR HADJIBATA",,AKSYON DEMOKRATIKO
6,"AHMAD, ASNA (IND)",FEMALE,"AHMAD, ASNA BUNKAL",,INDEPENDENT
7,"ALDAM, BASIR (IND)",MALE,"ALDAM, BASIR TUPAY",,INDEPENDENT
8,"ALDAM, YACOB (IND)",MALE,"ALDAM, YACOB ANDAWAN",,INDEPENDENT
9,"ALDAM, YUSOP (UBJP)",MALE,"ALDAM, YUSOP ALPAD",,UNITED BANGSAMORO JUSTICE PARTY
10,"ALIH, NURHAN (IND)",MALE,"ALIH, NURHAN HASSAN",,INDEPENDENT
11,"ALLAMA, NASSAL (IND)",MALE,"ALLAMA, NASSAL JAMIL",,INDEPENDENT
12,"AMIL, MAHAIL (PDPLBN)",MALE,"AMIL, MAHAIL NUHIN",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
BASILAN - HADJI MUHTAMAD,,,,,
BASILAN - HADJI MUHTAMAD - LONE DIST,,,,,
COUNCILOR,,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,,POLITICAL PARTY
13,"ARANAN, AHALIL (UBJP)",MALE,"ARANAN, AHALIL MUHADIL",,UNITED BANGSAMORO JUSTICE PARTY
14,"ARAWANGSA, SALIHIN (IND)",MALE,"ARAWANGSA, SALIHIN BAYRO",,INDEPENDENT
15,"ASCALI, RABIN (UBJP)",MALE,"ASCALI, RABIN MANSUL",,UNITED BANGSAMORO JUSTICE PARTY
16,"ASCALI, SUAIB (IND)",MALE,"ASCALI, SUAIB SABDANI",,INDEPENDENT
17,"ATALAD, EGIE (AKSYON)",MALE,"ATALAD, MONER LOMOCOB",,AKSYON DEMOKRATIKO
18,"ATTA, SERHAN (PDDS)",MALE,"ATTA, SERHAN ASCALI",,PEDERALISMO NG DUGONG DAKILANG SAMAHAN
19,"BAIRULLA, NAJAR (IND)",MALE,"BAIRULLA, NAJAR ULING",,INDEPENDENT
20,"BAYRO, IBNO DARRIK (IND)",MALE,"BAYRO, IBNO DARRIK SOLAMO",,INDEPENDENT
21,"BAYRO, RADZMAR (IND)",MALE,"BAYRO, RADZMAR ASKALI",,INDEPENDENT
22,"BENHAR, MARK (IND)",MALE,"BENHAR, MARK TADJALI",,INDEPENDENT
23,"DALLONG, NASSER (IND)",MALE,"DALLONG, NASSER SAMPORNAH",,INDEPENDENT
24,"DAUD, BAKRIN (IND)",MALE,"DAUD, BAKRIN ATALAD",,INDEPENDENT
25,"HAMID, MUNIB (IND)",MALE,"HAMID, MUNIB SALIH",,INDEPENDENT
26,"HASIM, LIGAYA (IND)",MALE,"HASIM, HADZMER MUSTAFA",,INDEPENDENT
27,"HASIM, SEYMOR (PDPLBN)",MALE,"HASIM, SEYMOR ALFAD",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
28,"ISMAEL, JOHN (IND)",MALE,"ISMAEL, JOHN TALIB",,INDEPENDENT
29,"JAILANI, DADAH (AKSYON)",MALE,"JAILANI, ISRAJA SAJILI",,AKSYON DEMOKRATIKO
30,"JAMALDIN, EDANG (PFP)",FEMALE,"JAMALDIN, NURHAIDA ALIH",,PARTIDO FEDERAL NG PILIPINAS
31,"JAMIRI, BAHARI (IND)",MALE,"JAMIRI, BAHARI BUNSANG",,INDEPENDENT
32,"JULKIPLI, PURAIDA (IND)",FEMALE,"JULKIPLI, PURAIDA INDANAN",,INDEPENDENT
33,"JUMADIL, SABRI (IND)",MALE,"JUMADIL, SABRI IBBARANI",,INDEPENDENT
34,"KADIL, ABDURAHIM (PDPLBN)",MALE,"KADIL, ABDURAHIM SAHI",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
35,"KADIL, AMMAN (AKSYON)",MALE,"KADIL, ABDURAHMAN SAHI",,AKSYON DEMOKRATIKO
BASILAN - HADJI MUHTAMAD,,,,,
BASILAN - HADJI MUHTAMAD - LONE DIST,,,,,
COUNCILOR,,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,,POLITICAL PARTY
36,"KAHAL, ZALDY (UBJP)",MALE,"KAHAL, ZALDY KALAH",,UNITED BANGSAMORO JUSTICE PARTY
37,"KIRAM, BENSAR (IND)",MALE,"KIRAM, BENSAR INGGAW",,INDEPENDENT
38,"KIRAM, RAJAM (UBJP)",MALE,"KIRAM, RAJAM UNSANG",,UNITED BANGSAMORO JUSTICE PARTY
39,"MOHAMMAD, MUFTI (PDPLBN)",MALE,"MOHAMMAD, MUFTI ASCALI",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
40,"SABTULA, JIMMY (IND)",MALE,"SABTULA, JIMMY JALAIDI",,INDEPENDENT
41,"SAID, SAMER (IND)",MALE,"SAID, SAMER BANGUN",,INDEPENDENT
42,"SAILILLA, EPONG (PFP)",MALE,"SAILILLA, IBRAHIM JALALI",,PARTIDO FEDERAL NG PILIPINAS
43,"SAILILLA, MURADA (PDPLBN)",FEMALE,"SAILILLA, MURADA ALIDJAM",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
44,"SAJIRAN, SADDAM (IND)",MALE,"SAJIRAN, SADDAM EDILIS",,INDEPENDENT
45,"SAKIB, LAIDA (IND)",FEMALE,"SAKIB, LAIDA MOHAMMAD",,INDEPENDENT
46,"SALAWIE, BRUNO (AKSYON)",MALE,"SALAWIE, HAIER SAHID",,AKSYON DEMOKRATIKO
47,"SALI, NUHMAN (PDPLBN)",MALE,"SALI, NUHMAN MOHAMMAD",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
48,"SARAMAN, MAHAMUD (PDPLBN)",MALE,"SARAMAN, MAHAMUD MOHAMMAD",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
49,"SUBAHANI, ANWAR (IND)",MALE,"SUBAHANI, ANWAR MASUHUD",,INDEPENDENT
50,"SUHAILI, NAMLI (IND)",MALE,"SUHAILI, NAMLI ASANJI",,INDEPENDENT
51,"SULAIMAN, NORINA (PDPLBN)",FEMALE,"SULAIMAN, NORINA BAHAN",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
52,"TALIB, BASER (PDDS)",MALE,"TALIB, BASER ATALAD",,PEDERALISMO NG DUGONG DAKILANG SAMAHAN
53,"UDAH, ABRAHAM (IND)",MALE,"UDAH, ABRAHAM ALIH",,INDEPENDENT
